# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 23 20:23:55 2018
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid,plntranreflink,facility,instrument
67,GJ 436 b,1.23000,,0.704600,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
68,GJ 436 b,1.24900,,0.703600,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
69,GJ 436 b,1.26800,,0.696700,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
70,GJ 436 b,1.28900,,0.686900,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
71,GJ 436 b,1.30600,,0.704300,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
72,GJ 436 b,1.32400,,0.686900,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
73,GJ 436 b,1.34300,,0.704600,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
74,GJ 436 b,1.36200,,0.705700,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
75,GJ 436 b,1.38100,,0.700600,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
76,GJ 436 b,1.40000,,0.703600,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
77,GJ 436 b,1.41900,,0.707200,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
78,GJ 436 b,1.43800,,0.703000,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
79,GJ 436 b,1.45600,,0.704400,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
80,GJ 436 b,1.47500,,0.694800,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
81,GJ 436 b,1.49400,,0.700800,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
